ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
6,9,1,442,3,87,2
6,9,2,438,3,86,2
6,9,3,145,1,20,2
6,9,4,267,2,47,2
6,9,5,354,2,67,2
6,9,6,336,2,63,2
6,9,7,431,3,85,2
6,9,8,304,2,56,2
6,9,9,396,3,77,2
6,9,10,133,1,17,2
6,9,11,425,3,83,2
6,9,12,468,3,93,2
6,9,13,492,3,99,2
6,9,14,428,3,84,2
6,9,15,327,2,61,2
6,9,16,393,3,76,2
6,9,17,330,2,62,2
6,9,18,337,2,63,2
6,9,19,268,2,48,2
6,9,20,267,2,47,2
6,9,21,161,1,23,2
6,9,22,288,2,52,2
6,9,23,489,3,98,2
6,9,24,462,3,92,2
6,9,25,346,2,65,2
6,9,26,332,2,62,2
6,9,27,167,1,25,2
6,9,28,444,3,88,2
6,9,29,433,3,85,2
6,9,30,237,2,41,2
