ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
10,4,1,205,1,33,2
10,4,2,368,3,70,2
10,4,3,296,2,54,2
10,4,4,187,1,29,2
10,4,5,263,2,47,2
10,4,6,381,3,73,2
10,4,7,360,2,69,2
10,4,8,292,2,53,2
10,4,9,385,3,74,2
10,4,10,455,3,90,2
10,4,11,124,1,15,2
10,4,12,260,2,46,2
10,4,13,401,3,78,2
10,4,14,194,1,31,2
10,4,15,366,2,70,2
10,4,16,233,1,40,2
10,4,17,140,1,19,2
10,4,18,396,3,77,2
10,4,19,231,1,39,2
10,4,20,340,2,64,2
10,4,21,385,3,74,2
10,4,22,331,2,62,2
10,4,23,474,3,94,2
10,4,24,432,3,85,2
10,4,25,303,2,56,2
10,4,26,269,2,48,2
10,4,27,320,2,60,2
10,4,28,223,1,38,2
10,4,29,125,1,15,2
10,4,30,179,1,28,2
10,4,31,238,2,41,2
10,4,32,294,2,54,2
10,4,33,252,2,44,2
10,4,34,357,2,68,2
10,4,35,446,3,88,2
10,4,36,366,2,70,2
10,4,37,262,2,46,2
10,4,38,163,1,24,2
10,4,39,105,1,11,2
10,4,40,455,3,90,2
10,4,41,240,2,41,2
10,4,42,242,2,42,2
10,4,43,307,2,57,2
10,4,44,251,2,44,2
10,4,45,468,3,93,2
10,4,46,232,1,40,2
10,4,47,326,2,61,2
10,4,48,171,1,26,2
10,4,49,352,2,67,2
10,4,50,359,2,68,2
