ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
10,8,1,214,1,36,2
10,8,2,425,3,83,2
10,8,3,197,1,32,2
10,8,4,166,1,25,2
10,8,5,396,3,77,2
10,8,6,395,3,76,2
10,8,7,353,2,67,2
10,8,8,327,2,61,2
10,8,9,357,2,68,2
10,8,10,373,3,71,2
10,8,11,402,3,78,2
10,8,12,476,3,95,2
10,8,13,493,3,99,2
10,8,14,196,1,31,2
10,8,15,240,2,41,2
10,8,16,385,3,74,2
10,8,17,396,3,77,2
10,8,18,382,3,74,2
10,8,19,239,2,41,2
10,8,20,458,3,91,2
10,8,21,283,2,51,2
10,8,22,266,2,47,2
10,8,23,207,1,34,2
10,8,24,399,3,77,2
10,8,25,170,1,25,2
10,8,26,209,1,34,2
10,8,27,150,1,21,2
10,8,28,158,1,23,2
10,8,29,102,1,10,2
10,8,30,275,2,49,2
10,8,31,381,3,73,2
10,8,32,200,1,32,2
10,8,33,328,2,61,2
10,8,34,359,2,68,2
10,8,35,113,1,13,2
10,8,36,249,2,43,2
10,8,37,236,2,41,2
10,8,38,355,2,68,2
10,8,39,103,1,10,2
10,8,40,162,1,24,2
10,8,41,439,3,86,2
10,8,42,316,2,59,2
10,8,43,262,2,46,2
10,8,44,194,1,31,2
10,8,45,167,1,25,2
10,8,46,346,2,66,2
10,8,47,485,3,97,2
10,8,48,198,1,32,2
10,8,49,424,3,83,2
10,8,50,366,2,70,2
