ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
9,8,1,325,1,21,2
9,8,2,405,1,57,2
9,8,3,457,1,81,2
9,8,4,424,1,66,2
9,8,5,344,1,30,2
9,8,6,423,1,66,2
9,8,7,393,1,52,2
9,8,8,467,1,85,2
9,8,9,465,1,84,2
9,8,10,414,1,61,2
9,8,11,366,1,40,2
9,8,12,478,1,90,2
9,8,13,394,1,52,2
9,8,14,351,1,33,2
9,8,15,483,1,92,2
9,8,16,344,1,30,2
9,8,17,379,1,46,2
9,8,18,363,1,38,2
9,8,19,448,1,77,2
9,8,20,411,1,60,2
9,8,21,455,1,80,2
9,8,22,475,1,89,2
9,8,23,421,1,65,2
9,8,24,324,1,21,2
9,8,25,431,1,69,2
9,8,26,434,1,71,2
9,8,27,331,1,24,2
9,8,28,417,1,63,2
9,8,29,498,1,99,2
9,8,30,304,1,11,2
9,8,31,495,1,98,2
9,8,32,477,1,90,2
9,8,33,399,1,55,2
9,8,34,435,1,71,2
9,8,35,345,1,30,2
9,8,36,324,1,21,2
9,8,37,358,1,36,2
9,8,38,500,1,100,2
9,8,39,357,1,35,2
9,8,40,424,1,66,2
9,8,41,460,1,82,2
9,8,42,328,1,22,2
9,8,43,332,1,24,2
9,8,44,324,1,21,2
9,8,45,432,1,70,2
9,8,46,339,1,28,2
9,8,47,376,1,44,2
9,8,48,419,1,64,2
9,8,49,473,1,88,2
9,8,50,336,1,26,2
