ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
6,2,1,347,2,66,2
6,2,2,346,2,65,2
6,2,3,149,1,21,2
6,2,4,216,1,36,2
6,2,5,433,3,85,2
6,2,6,213,1,35,2
6,2,7,489,3,98,2
6,2,8,324,2,60,2
6,2,9,259,2,46,2
6,2,10,409,3,80,2
6,2,11,387,3,75,2
6,2,12,119,1,14,2
6,2,13,494,3,99,2
6,2,14,353,2,67,2
6,2,15,193,1,31,2
6,2,16,245,2,42,2
6,2,17,268,2,48,2
6,2,18,358,2,68,2
6,2,19,227,1,39,2
6,2,20,423,3,83,2
6,2,21,422,3,83,2
6,2,22,150,1,21,2
6,2,23,236,2,41,2
6,2,24,474,3,94,2
6,2,25,339,2,64,2
6,2,26,181,1,28,2
6,2,27,227,1,38,2
6,2,28,473,3,94,2
6,2,29,197,1,32,2
6,2,30,252,2,44,2
