ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
10,5,1,395,3,76,2
10,5,2,488,3,98,2
10,5,3,341,2,64,2
10,5,4,391,3,76,2
10,5,5,158,1,23,2
10,5,6,374,3,72,2
10,5,7,395,3,76,2
10,5,8,364,2,70,2
10,5,9,385,3,74,2
10,5,10,495,3,99,2
10,5,11,160,1,23,2
10,5,12,236,2,40,2
10,5,13,267,2,47,2
10,5,14,306,2,56,2
10,5,15,317,2,59,2
10,5,16,330,2,62,2
10,5,17,108,1,11,2
10,5,18,143,1,19,2
10,5,19,248,2,43,2
10,5,20,500,3,100,2
10,5,21,471,3,94,2
10,5,22,478,3,95,2
10,5,23,391,3,76,2
10,5,24,277,2,50,2
10,5,25,199,1,32,2
10,5,26,242,2,42,2
10,5,27,124,1,15,2
10,5,28,322,2,60,2
10,5,29,465,3,92,2
10,5,30,170,1,26,2
10,5,31,443,3,87,2
10,5,32,248,2,43,2
10,5,33,372,3,71,2
10,5,34,266,2,47,2
10,5,35,285,2,52,2
10,5,36,251,2,44,2
10,5,37,454,3,90,2
10,5,38,362,2,69,2
10,5,39,299,2,55,2
10,5,40,171,1,26,2
10,5,41,472,3,94,2
10,5,42,398,3,77,2
10,5,43,279,2,50,2
10,5,44,110,1,12,2
10,5,45,395,3,76,2
10,5,46,103,1,10,2
10,5,47,476,3,95,2
10,5,48,100,1,10,2
10,5,49,435,3,86,2
10,5,50,237,2,41,2
