ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
8,1,1,134,1,17,2
8,1,2,305,2,56,2
8,1,3,481,3,96,2
8,1,4,490,3,98,2
8,1,5,272,2,49,2
8,1,6,317,2,59,2
8,1,7,130,1,16,2
8,1,8,288,2,52,2
8,1,9,483,3,97,2
8,1,10,169,1,25,2
8,1,11,131,1,17,2
8,1,12,484,3,97,2
8,1,13,353,2,67,2
8,1,14,418,3,82,2
8,1,15,172,1,26,2
8,1,16,109,1,12,2
8,1,17,335,2,63,2
8,1,18,467,3,93,2
8,1,19,144,1,20,2
8,1,20,304,2,56,2
8,1,21,478,3,95,2
8,1,22,410,3,80,2
8,1,23,379,3,73,2
8,1,24,349,2,66,2
8,1,25,207,1,34,2
8,1,26,427,3,84,2
8,1,27,376,3,72,2
8,1,28,341,2,64,2
8,1,29,487,3,97,2
8,1,30,487,3,97,2
8,1,31,137,1,18,2
8,1,32,367,3,70,2
8,1,33,393,3,76,2
8,1,34,256,2,45,2
8,1,35,192,1,30,2
8,1,36,283,2,51,2
8,1,37,213,1,35,2
8,1,38,214,1,35,2
8,1,39,133,1,17,2
8,1,40,116,1,13,2
