ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
8,5,1,197,1,32,2
8,5,2,395,3,76,2
8,5,3,221,1,37,2
8,5,4,348,2,66,2
8,5,5,297,2,54,2
8,5,6,338,2,64,2
8,5,7,339,2,64,2
8,5,8,381,3,73,2
8,5,9,339,2,64,2
8,5,10,131,1,17,2
8,5,11,112,1,12,2
8,5,12,370,3,71,2
8,5,13,436,3,86,2
8,5,14,324,2,60,2
8,5,15,440,3,87,2
8,5,16,401,3,78,2
8,5,17,214,1,36,2
8,5,18,451,3,89,2
8,5,19,316,2,59,2
8,5,20,360,2,69,2
8,5,21,453,3,90,2
8,5,22,286,2,52,2
8,5,23,287,2,52,2
8,5,24,322,2,60,2
8,5,25,370,3,71,2
8,5,26,235,2,40,2
8,5,27,190,1,30,2
8,5,28,308,2,57,2
8,5,29,263,2,47,2
8,5,30,225,1,38,2
8,5,31,184,1,29,2
8,5,32,236,2,41,2
8,5,33,102,1,10,2
8,5,34,188,1,30,2
8,5,35,296,2,54,2
8,5,36,232,1,40,2
8,5,37,475,3,95,2
8,5,38,235,2,40,2
8,5,39,453,3,90,2
8,5,40,305,2,56,2
