ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
9,5,1,413,1,61,2
9,5,2,379,1,45,2
9,5,3,329,1,23,2
9,5,4,459,1,82,2
9,5,5,401,1,56,2
9,5,6,393,1,52,2
9,5,7,429,1,68,2
9,5,8,448,1,77,2
9,5,9,321,1,19,2
9,5,10,428,1,67,2
9,5,11,477,1,90,2
9,5,12,479,1,91,2
9,5,13,314,1,16,2
9,5,14,313,1,16,2
9,5,15,417,1,63,2
9,5,16,395,1,53,2
9,5,17,492,1,97,2
9,5,18,418,1,63,2
9,5,19,461,1,82,2
9,5,20,474,1,88,2
9,5,21,452,1,78,2
9,5,22,359,1,36,2
9,5,23,380,1,46,2
9,5,24,314,1,16,2
9,5,25,493,1,97,2
9,5,26,421,1,65,2
9,5,27,403,1,56,2
9,5,28,320,1,19,2
9,5,29,356,1,35,2
9,5,30,437,1,72,2
9,5,31,415,1,62,2
9,5,32,461,1,83,2
9,5,33,383,1,47,2
9,5,34,375,1,44,2
9,5,35,495,1,98,2
9,5,36,471,1,87,2
9,5,37,465,1,85,2
9,5,38,481,1,92,2
9,5,39,414,1,61,2
9,5,40,351,1,33,2
9,5,41,405,1,57,2
9,5,42,356,1,35,2
9,5,43,364,1,39,2
9,5,44,384,1,48,2
9,5,45,465,1,84,2
9,5,46,320,1,19,2
9,5,47,404,1,57,2
9,5,48,363,1,38,2
9,5,49,385,1,48,2
9,5,50,324,1,20,2
