ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
6,6,1,180,1,28,2
6,6,2,461,3,92,2
6,6,3,297,2,54,2
6,6,4,484,3,97,2
6,6,5,288,2,52,2
6,6,6,150,1,21,2
6,6,7,471,3,94,2
6,6,8,306,2,56,2
6,6,9,134,1,17,2
6,6,10,396,3,77,2
6,6,11,270,2,48,2
6,6,12,128,1,16,2
6,6,13,443,3,87,2
6,6,14,101,1,10,2
6,6,15,229,1,39,2
6,6,16,443,3,87,2
6,6,17,136,1,18,2
6,6,18,366,2,70,2
6,6,19,447,3,88,2
6,6,20,323,2,60,2
6,6,21,239,2,41,2
6,6,22,409,3,80,2
6,6,23,399,3,77,2
6,6,24,216,1,36,2
6,6,25,176,1,27,2
6,6,26,132,1,17,2
6,6,27,108,1,12,2
6,6,28,278,2,50,2
6,6,29,106,1,11,2
6,6,30,139,1,19,2
