ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
7,1,1,404,1,57,2
7,1,2,426,1,67,2
7,1,3,471,1,87,2
7,1,4,366,1,40,2
7,1,5,315,1,16,2
7,1,6,484,1,93,2
7,1,7,446,1,76,2
7,1,8,493,1,97,2
7,1,9,417,1,63,2
7,1,10,313,1,16,2
7,1,11,474,1,89,2
7,1,12,423,1,66,2
7,1,13,414,1,61,2
7,1,14,346,1,31,2
7,1,15,316,1,17,2
7,1,16,329,1,23,2
7,1,17,365,1,39,2
7,1,18,311,1,15,2
7,1,19,305,1,12,2
7,1,20,369,1,41,2
7,1,21,409,1,59,2
7,1,22,307,1,13,2
7,1,23,337,1,27,2
7,1,24,415,1,62,2
7,1,25,495,1,98,2
7,1,26,478,1,90,2
7,1,27,322,1,20,2
7,1,28,449,1,77,2
7,1,29,327,1,22,2
7,1,30,410,1,60,2
7,1,31,498,1,99,2
7,1,32,476,1,89,2
7,1,33,405,1,57,2
7,1,34,363,1,38,2
7,1,35,336,1,26,2
7,1,36,365,1,39,2
7,1,37,460,1,82,2
7,1,38,348,1,31,2
7,1,39,414,1,61,2
7,1,40,368,1,40,2
