ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
5,3,1,451,1,78,2
5,3,2,435,1,71,2
5,3,3,485,1,94,2
5,3,4,453,1,79,2
5,3,5,316,1,17,2
5,3,6,319,1,18,2
5,3,7,416,1,62,2
5,3,8,421,1,65,2
5,3,9,373,1,43,2
5,3,10,325,1,21,2
5,3,11,333,1,25,2
5,3,12,326,1,21,2
5,3,13,438,1,72,2
5,3,14,471,1,87,2
5,3,15,377,1,45,2
5,3,16,460,1,82,2
5,3,17,458,1,81,2
5,3,18,344,1,30,2
5,3,19,405,1,57,2
5,3,20,473,1,88,2
5,3,21,484,1,93,2
5,3,22,314,1,16,2
5,3,23,347,1,31,2
5,3,24,425,1,66,2
5,3,25,475,1,89,2
5,3,26,447,1,76,2
5,3,27,433,1,70,2
5,3,28,419,1,64,2
5,3,29,343,1,29,2
5,3,30,383,1,47,2
