ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
8,4,1,497,3,100,2
8,4,2,197,1,32,2
8,4,3,200,1,32,2
8,4,4,359,2,68,2
8,4,5,134,1,17,2
8,4,6,414,3,81,2
8,4,7,390,3,75,2
8,4,8,244,2,42,2
8,4,9,451,3,89,2
8,4,10,263,2,47,2
8,4,11,149,1,21,2
8,4,12,187,1,29,2
8,4,13,343,2,65,2
8,4,14,239,2,41,2
8,4,15,390,3,76,2
8,4,16,299,2,55,2
8,4,17,436,3,86,2
8,4,18,463,3,92,2
8,4,19,113,1,12,2
8,4,20,393,3,76,2
8,4,21,126,1,16,2
8,4,22,196,1,31,2
8,4,23,483,3,97,2
8,4,24,250,2,44,2
8,4,25,142,1,19,2
8,4,26,274,2,49,2
8,4,27,462,3,92,2
8,4,28,203,1,33,2
8,4,29,458,3,91,2
8,4,30,229,1,39,2
8,4,31,393,3,76,2
8,4,32,415,3,81,2
8,4,33,497,3,100,2
8,4,34,135,1,18,2
8,4,35,476,3,95,2
8,4,36,265,2,47,2
8,4,37,215,1,36,2
8,4,38,299,2,55,2
8,4,39,460,3,91,2
8,4,40,425,3,83,2
