ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
10,6,1,224,1,38,2
10,6,2,283,2,51,2
10,6,3,424,3,83,2
10,6,4,353,2,67,2
10,6,5,388,3,75,2
10,6,6,417,3,82,2
10,6,7,197,1,32,2
10,6,8,164,1,24,2
10,6,9,291,2,53,2
10,6,10,416,3,81,2
10,6,11,350,2,66,2
10,6,12,172,1,26,2
10,6,13,400,3,78,2
10,6,14,314,2,58,2
10,6,15,152,1,21,2
10,6,16,412,3,80,2
10,6,17,365,2,70,2
10,6,18,100,1,10,2
10,6,19,120,1,14,2
10,6,20,166,1,24,2
10,6,21,377,3,73,2
10,6,22,247,2,43,2
10,6,23,345,2,65,2
10,6,24,176,1,27,2
10,6,25,127,1,16,2
10,6,26,172,1,26,2
10,6,27,299,2,55,2
10,6,28,380,3,73,2
10,6,29,382,3,74,2
10,6,30,195,1,31,2
10,6,31,267,2,47,2
10,6,32,123,1,15,2
10,6,33,388,3,75,2
10,6,34,327,2,61,2
10,6,35,447,3,88,2
10,6,36,260,2,46,2
10,6,37,325,2,61,2
10,6,38,119,1,14,2
10,6,39,379,3,73,2
10,6,40,368,3,71,2
10,6,41,153,1,22,2
10,6,42,389,3,75,2
10,6,43,170,1,26,2
10,6,44,383,3,74,2
10,6,45,322,2,60,2
10,6,46,400,3,78,2
10,6,47,499,3,100,2
10,6,48,465,3,93,2
10,6,49,459,3,91,2
10,6,50,483,3,97,2
