ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
7,4,1,336,1,26,2
7,4,2,441,1,74,2
7,4,3,448,1,77,2
7,4,4,370,1,41,2
7,4,5,475,1,89,2
7,4,6,467,1,85,2
7,4,7,341,1,28,2
7,4,8,320,1,19,2
7,4,9,332,1,24,2
7,4,10,373,1,43,2
7,4,11,443,1,75,2
7,4,12,492,1,97,2
7,4,13,456,1,81,2
7,4,14,308,1,13,2
7,4,15,416,1,62,2
7,4,16,425,1,66,2
7,4,17,468,1,86,2
7,4,18,433,1,70,2
7,4,19,422,1,65,2
7,4,20,460,1,82,2
7,4,21,363,1,38,2
7,4,22,386,1,49,2
7,4,23,323,1,20,2
7,4,24,487,1,95,2
7,4,25,441,1,73,2
7,4,26,477,1,90,2
7,4,27,310,1,14,2
7,4,28,350,1,33,2
7,4,29,364,1,39,2
7,4,30,334,1,25,2
7,4,31,467,1,85,2
7,4,32,475,1,89,2
7,4,33,323,1,20,2
7,4,34,499,1,100,2
7,4,35,418,1,63,2
7,4,36,390,1,50,2
7,4,37,454,1,79,2
7,4,38,352,1,33,2
7,4,39,458,1,81,2
7,4,40,452,1,78,2
