ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
8,10,1,310,2,57,2
8,10,2,448,3,89,2
8,10,3,487,3,98,2
8,10,4,206,1,34,2
8,10,5,273,2,49,2
8,10,6,391,3,76,2
8,10,7,346,2,65,2
8,10,8,174,1,26,2
8,10,9,180,1,28,2
8,10,10,277,2,50,2
8,10,11,453,3,90,2
8,10,12,378,3,73,2
8,10,13,254,2,45,2
8,10,14,198,1,32,2
8,10,15,427,3,84,2
8,10,16,154,1,22,2
8,10,17,434,3,85,2
8,10,18,393,3,76,2
8,10,19,225,1,38,2
8,10,20,320,2,60,2
8,10,21,257,2,45,2
8,10,22,138,1,18,2
8,10,23,288,2,52,2
8,10,24,239,2,41,2
8,10,25,350,2,66,2
8,10,26,383,3,74,2
8,10,27,476,3,95,2
8,10,28,146,1,20,2
8,10,29,385,3,74,2
8,10,30,275,2,49,2
8,10,31,279,2,50,2
8,10,32,371,3,71,2
8,10,33,399,3,78,2
8,10,34,268,2,48,2
8,10,35,296,2,54,2
8,10,36,123,1,15,2
8,10,37,308,2,57,2
8,10,38,117,1,14,2
8,10,39,453,3,90,2
8,10,40,242,2,42,2
