ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
6,4,1,486,3,97,2
6,4,2,115,1,13,2
6,4,3,226,1,38,2
6,4,4,107,1,11,2
6,4,5,491,3,98,2
6,4,6,323,2,60,2
6,4,7,279,2,50,2
6,4,8,207,1,34,2
6,4,9,320,2,60,2
6,4,10,386,3,75,2
6,4,11,360,2,69,2
6,4,12,431,3,85,2
6,4,13,406,3,79,2
6,4,14,188,1,30,2
6,4,15,201,1,33,2
6,4,16,283,2,51,2
6,4,17,136,1,18,2
6,4,18,144,1,20,2
6,4,19,376,3,72,2
6,4,20,194,1,31,2
6,4,21,258,2,46,2
6,4,22,472,3,94,2
6,4,23,477,3,95,2
6,4,24,392,3,76,2
6,4,25,322,2,60,2
6,4,26,175,1,27,2
6,4,27,242,2,42,2
6,4,28,319,2,59,2
6,4,29,410,3,80,2
6,4,30,337,2,63,2
