ExperimentId,InstanceId,Id,Width,Length,Quantity,Stage
8,2,1,416,3,81,2
8,2,2,164,1,24,2
8,2,3,209,1,34,2
8,2,4,133,1,17,2
8,2,5,237,2,41,2
8,2,6,454,3,90,2
8,2,7,413,3,81,2
8,2,8,383,3,74,2
8,2,9,384,3,74,2
8,2,10,234,2,40,2
8,2,11,207,1,34,2
8,2,12,472,3,94,2
8,2,13,199,1,32,2
8,2,14,399,3,78,2
8,2,15,259,2,46,2
8,2,16,224,1,38,2
8,2,17,427,3,84,2
8,2,18,232,1,40,2
8,2,19,382,3,74,2
8,2,20,345,2,65,2
8,2,21,441,3,87,2
8,2,22,289,2,53,2
8,2,23,301,2,55,2
8,2,24,497,3,100,2
8,2,25,131,1,17,2
8,2,26,265,2,47,2
8,2,27,191,1,30,2
8,2,28,197,1,32,2
8,2,29,326,2,61,2
8,2,30,390,3,76,2
8,2,31,396,3,77,2
8,2,32,221,1,37,2
8,2,33,433,3,85,2
8,2,34,127,1,16,2
8,2,35,389,3,75,2
8,2,36,413,3,81,2
8,2,37,300,2,55,2
8,2,38,345,2,65,2
8,2,39,211,1,35,2
8,2,40,253,2,44,2
